Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,BEPC,,ABIDJAN 3,Présents,Fille,15115
2016,BEPC,,ABIDJAN 4,Présents,Fille,11741
2016,BEPC,,ABOISSO,Présents,Fille,2121
2016,BEPC,,ADZOPE,Présents,Fille,1845
2016,BEPC,,AGBOVILLE,Présents,Fille,1533
2016,BEPC,,BONDOUKOU,Présents,Fille,1605
2016,BEPC,,BONGOUANOU,Présents,Fille,949
2016,BEPC,,BOUAFLE,Présents,Fille,808
2016,BEPC,,BOUAKE  1,Présents,Fille,2294
2016,BEPC,,BOUAKE  2,Présents,Fille,3142
2016,BEPC,,BOUNA,Présents,Fille,342
2016,BEPC,,BOUNDIALI,Présents,Fille,898
2016,BEPC,,DABOU,Présents,Fille,2096
2016,BEPC,,DALOA,Présents,Fille,4216
2016,BEPC,,DANANE,Présents,Fille,730
2016,BEPC,,DAOUKRO,Présents,Fille,1312
2016,BEPC,,DIMBOKRO,Présents,Fille,1140
2016,BEPC,,DIVO,Présents,Fille,3670
2016,BEPC,,DUEKOUE,Présents,Fille,1446
2016,BEPC,,FERKESSEDOUGOU,Présents,Fille,975
2016,BEPC,,GAGNOA,Présents,Fille,2273
2016,BEPC,,GRAND­BASSAM,Présents,Fille,2123
2016,BEPC,,GUIGLO,Présents,Fille,1002
2016,BEPC,,ISSIA,Présents,Fille,939
2016,BEPC,,KATIOLA,Présents,Fille,872
2016,BEPC,,KORHOGO,Présents,Fille,2147
2016,BEPC,,MAN,Présents,Fille,1600
2016,BEPC,,MANKONO,Présents,Fille,334
2016,BEPC,,MINIGNAN,Présents,Fille,20
2016,BEPC,,ODIENNE,Présents,Fille,553
2016,BEPC,,SAN­PEDRO,Présents,Fille,3121
2016,BEPC,,SASSANDRA,Présents,Fille,554
2016,BEPC,,SEGUELA,Présents,Fille,576
2016,BEPC,,SINFRA,Présents,Fille,1327
2016,BEPC,,SOUBRE,Présents,Fille,3514
2016,BEPC,,TIASSALE,Présents,Fille,979
2016,BEPC,,TOUBA,Présents,Fille,177
2016,BEPC,,YAMOUSSOUKRO,Présents,Fille,4148
